date,state,sector,value
2018,Labuan,p2,0
2018,Labuan,p3,1364.66
2018,Labuan,p4,156.064
2018,Labuan,p5,5480.777
2018,Labuan,p6,117.831
2019,Johor,p0,134225.938
2019,Johor,p1,16403.246
2019,Johor,p2,812.547
2019,Johor,p3,40124.896
2019,Johor,p4,6699.7
2019,Johor,p5,68576.722
2019,Johor,p6,1608.826
2019,Kedah,p0,46841.199
2019,Kedah,p1,5645.724
2019,Kedah,p2,125.34
2019,Kedah,p3,13429.618
2019,Kedah,p4,1090.383
2019,Kedah,p5,26326.519
2019,Kedah,p6,223.615
2019,Kelantan,p0,25479.178
2019,Kelantan,p1,5813.752
2019,Kelantan,p2,416.804
2019,Kelantan,p3,1300.391
2019,Kelantan,p4,383.135
2019,Kelantan,p5,17535.366
2019,Kelantan,p6,29.729
2019,Melaka,p0,43583.397
2019,Melaka,p1,4433.169
2019,Melaka,p2,67.905
2019,Melaka,p3,16744.806
2019,Melaka,p4,1357.797
2019,Melaka,p5,20917.737
2019,Melaka,p6,61.984
2019,Negeri Sembilan,p0,48033.554
2019,Negeri Sembilan,p1,3556.781
2019,Negeri Sembilan,p2,235.759
2019,Negeri Sembilan,p3,17630.391
2019,Negeri Sembilan,p4,1842.634
2019,Negeri Sembilan,p5,24037.373
2019,Negeri Sembilan,p6,730.616
2019,Pahang,p0,58434.372
2019,Pahang,p1,12849.208
2019,Pahang,p2,819.669
2019,Pahang,p3,12766.618
2019,Pahang,p4,1726.92
2019,Pahang,p5,30217.041
2019,Pahang,p6,54.917
2019,Perak,p0,75992.708
2019,Perak,p1,11312.41
2019,Perak,p2,504.554
2019,Perak,p3,13683.259
2019,Perak,p4,2490.203
2019,Perak,p5,47970.594
2019,Perak,p6,31.687
2019,Perlis,p0,6151.334
2019,Perlis,p1,1333.94
2019,Perlis,p2,33.318
2019,Perlis,p3,470.377
2019,Perlis,p4,166.658
2019,Perlis,p5,4074.923
2019,Perlis,p6,72.118
2019,Penang,p0,94645.352
2019,Penang,p1,2067.787
2019,Penang,p2,171.449
2019,Penang,p3,40510.378
2019,Penang,p4,2644.079
2019,Penang,p5,48645.481
2019,Penang,p6,606.177
2019,Sabah,p0,85641.69
2019,Sabah,p1,13719.07
2019,Sabah,p2,22736.44
2019,Sabah,p3,6471.818
2019,Sabah,p4,3098.682
2019,Sabah,p5,39428.467
2019,Sabah,p6,187.213
2019,Sarawak,p0,136759.184
2019,Sarawak,p1,16578.352
2019,Sarawak,p2,30012.841
2019,Sarawak,p3,36612.585
2019,Sarawak,p4,4476.115
2019,Sarawak,p5,48761.022
2019,Sarawak,p6,318.269
2019,Selangor,p0,345008.461
2019,Selangor,p1,4708.902
2019,Selangor,p2,859.075
2019,Selangor,p3,95941.82
2019,Selangor,p4,20663.954
2019,Selangor,p5,214347.881
2019,Selangor,p6,8486.83
2019,Terengganu,p0,36000.52
2019,Terengganu,p1,3016.084
2019,Terengganu,p2,200.918
2019,Terengganu,p3,13093.274
2019,Terengganu,p4,1165.429
2019,Terengganu,p5,18508.873
2019,Terengganu,p6,15.941
2019,Kuala Lumpur,p0,233793.693
2019,Kuala Lumpur,p1,0
2019,Kuala Lumpur,p2,152.637
2019,Kuala Lumpur,p3,6119.096
2019,Kuala Lumpur,p4,18469.697
2019,Kuala Lumpur,p5,205330.858
2019,Kuala Lumpur,p6,3719.753
2019,Labuan,p0,7623.268
2019,Labuan,p1,133.251
2019,Labuan,p2,0
2019,Labuan,p3,1383.647
2019,Labuan,p4,177.184
2019,Labuan,p5,5897.621
2019,Labuan,p6,31.566
2020,Johor,p0,128073.564
2020,Johor,p1,16856.55
2020,Johor,p2,657.515
2020,Johor,p3,38650.689
2020,Johor,p4,4175.525
2020,Johor,p5,66406.166
2020,Johor,p6,1327.119
2020,Kedah,p0,46042.458
2020,Kedah,p1,5517.843
2020,Kedah,p2,111.892
2020,Kedah,p3,13618.773
2020,Kedah,p4,1112.621
2020,Kedah,p5,25433.746
2020,Kedah,p6,247.582
2020,Kelantan,p0,25187.708
2020,Kelantan,p1,5817.503
2020,Kelantan,p2,341.892
