date,state,percentile,variable,income
2024-01-01,Johor,55,minimum,8152.0
2024-01-01,Johor,55,maximum,8259.0
2024-01-01,Johor,56,mean,8344.0
2024-01-01,Johor,56,median,8345.0
2024-01-01,Johor,56,minimum,8261.0
2024-01-01,Johor,56,maximum,8407.0
2024-01-01,Johor,57,mean,8474.0
2024-01-01,Johor,57,median,8469.0
2024-01-01,Johor,57,minimum,8411.0
2024-01-01,Johor,57,maximum,8554.0
2024-01-01,Johor,58,mean,8643.0
2024-01-01,Johor,58,median,8653.0
2024-01-01,Johor,58,minimum,8554.0
2024-01-01,Johor,58,maximum,8708.0
2024-01-01,Johor,59,mean,8781.0
2024-01-01,Johor,59,median,8776.0
2024-01-01,Johor,59,minimum,8710.0
2024-01-01,Johor,59,maximum,8843.0
2024-01-01,Johor,60,mean,8922.0
2024-01-01,Johor,60,median,8920.0
2024-01-01,Johor,60,minimum,8845.0
2024-01-01,Johor,60,maximum,8989.0
2024-01-01,Johor,61,mean,9052.0
2024-01-01,Johor,61,median,9053.0
2024-01-01,Johor,61,minimum,8990.0
2024-01-01,Johor,61,maximum,9118.0
2024-01-01,Johor,62,mean,9205.0
2024-01-01,Johor,62,median,9218.0
2024-01-01,Johor,62,minimum,9119.0
2024-01-01,Johor,62,maximum,9282.0
2024-01-01,Johor,63,mean,9354.0
2024-01-01,Johor,63,median,9360.0
2024-01-01,Johor,63,minimum,9287.0
2024-01-01,Johor,63,maximum,9428.0
2024-01-01,Johor,64,mean,9516.0
2024-01-01,Johor,64,median,9517.0
2024-01-01,Johor,64,minimum,9429.0
2024-01-01,Johor,64,maximum,9581.0
2024-01-01,Johor,65,mean,9656.0
2024-01-01,Johor,65,median,9655.0
2024-01-01,Johor,65,minimum,9586.0
2024-01-01,Johor,65,maximum,9738.0
2024-01-01,Johor,66,mean,9838.0
2024-01-01,Johor,66,median,9840.0
2024-01-01,Johor,66,minimum,9742.0
2024-01-01,Johor,66,maximum,9932.0
2024-01-01,Johor,67,mean,10043.0
2024-01-01,Johor,67,median,10047.0
2024-01-01,Johor,67,minimum,9934.0
2024-01-01,Johor,67,maximum,10133.0
2024-01-01,Johor,68,mean,10205.0
2024-01-01,Johor,68,median,10192.0
2024-01-01,Johor,68,minimum,10136.0
2024-01-01,Johor,68,maximum,10283.0
2024-01-01,Johor,69,mean,10373.0
2024-01-01,Johor,69,median,10367.0
2024-01-01,Johor,69,minimum,10287.0
2024-01-01,Johor,69,maximum,10448.0
2024-01-01,Johor,70,mean,10536.0
2024-01-01,Johor,70,median,10520.0
2024-01-01,Johor,70,minimum,10454.0
2024-01-01,Johor,70,maximum,10651.0
